date,forecasted_crimes
2025-01-01,2836.5358900400884
2025-02-01,2334.767553914664
2025-03-01,2774.4425583344578
2025-04-01,2883.761228357064
2025-05-01,3349.6860541287247
2025-06-01,3364.7072717076867
2025-07-01,3501.195505603531
2025-08-01,3509.10770934137
2025-09-01,3402.7602461590022
2025-10-01,3488.936366113487
2025-11-01,3038.4117735915056
2025-12-01,2999.217605820098
